prompt,completion
"Heel Height is Low. Washing Instructions is Do Not Wash. Brand is White Stuff. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots, Chelsea Boots. Main Shoe Material is Suede. Exact Heel Height is 2.5cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Composition is Upper: Suede, Sole: rubber, Lining: textile/leather . Pattern Details is Plain.","In a classic chelsea boot design, these shoes by White Stuff are fashioned from suede for long-lasting quality and comfort.
Set on a block heel, they are finished with a rounded toe.
Heel height: 2.5cm"
"Heel Height is Low. Brand is Hotter. Shoe Or Boot Style is Biker Boots. Main Shoe Material is Leather. Exact Heel Height is 2.5cm. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning, Wide Fit. Toe Detail is Almond, Closed Toe. Material is Upper: leather, Sole: polyurethane, Lining: textile.","Primed for pounding city pavements, this pair of biker boots from Hotter is made from leather for comfort and quality that you can rely on.
Set on a flat heel, theyare deisgned with comfort in mind, featuring underfoot cushioning and a wide fit and have an almond-shaped toe that makes for a smooth finish.
Heel height: 2.5cm"
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Court Shoes. Main Shoe Material is Synthetic. Heel Type is Stiletto. Heel Height is High. Brand is Mango. Occasion Type is Smart. Exact Heel Height is 9cm. Toe Detail is Pointed. Composition is Upper: polyurethane, Sole: thermoplastic, Lining: polyurethane/polyester.","Complete any outfit with these smart Lora court shoes from Mango.
Made with faux crocodile skin, they feature a pointed toe and an elevating stiletto heel."
"Heel Height is Mid. Brand is John Lewis. Occasion Type is Smart. Main Shoe Material is Suede. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 7cm.  Heel Style is Covered. Country of Origin is Brazil. Fastening is Slip-On. Heel Type is Stiletto. Toe Detail is Almond. Material is Upper: suede, Sole: synthetic, Lining: leather.","Sleek and stylish, our Beloved courts are a much-loved signature style.
Made for us in Brazil from super-soft kid suede, they have an almond toe and an occasion-ready wearable stiletto heel. A classic pair of courts, wear them for all the events and occasions in your diary this season and beyond.
Good to know: Let any loose dirt dry out, then gently brush it off. You can get rid of stains with a specialist cleaner. After cleaning, it is a good idea to use a waterproofing spray, to protect them from weather and any splashes or spills.
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group.
John Lewis & Partners introduces a new style philosophy focused on individuality, colour and versatility. Each piece is designed to work together and with your existing wardrobe.
Designed in-house, the collection features contemporary clothing and accessories with strong, clean lines. Every season, our designers create distinct colour groups that include both the building blocks of every wardrobe and vibrant stand-out pieces that add a finishing touch.
Empower your personal style and mix, match, tone and clash. John Lewis & Partners: it’s how you wear it."
"Sport & Fitness Activity is Golf. Washing Instructions is Machine Washable. Brand is Skechers. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Toe Detail is Round. Composition is Upper: leather, Sole: rubber, Lining: synthetic.","Sleek casual style and on-course performance arrives in Skechers Relaxed Fit Go Golf Drive 5. This lace-up golf design features a leather and synthetic upper with a removable Arch Fit insole and Goodyear Performance Outsole. 
With a relaxed fit for roomy comfort at the toe and forefoot and waterproof protection, these trainers are completed with lightweight, resilient cushioning that offers on-course/off-course versatility."
"Brand is Dune. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Synthetic. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: synthetic, Sole: synthetic, Lining: synthetic.","A modern man's essential, these Trip trainers from Dune are ideal for weekends.
Featuring lace-up front fastening and a round toe, the design is offset by a contrasting flat sole and material ankle trim."
"Sub-Brand is Polo Ralph Lauren. Washing Instructions is Wipe Clean. Brand is Ralph Lauren. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: 100% leather, Lining: 100% polyester, Sole: 100% rubber.","The Heritage Court II draws inspiration from early tennis professionals' footwear, resulting in a classic silhouette. These shoes are made with a leather upper and a rubber cupsole construction that includes integrated heel support. Additionally, they are designed with a dual-compound EVA midsole, providing exceptional comfort."
"Washing Instructions is Sponge Clean Only. Brand is Tommy Hilfiger. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Material is Upper: suede, Sole: rubber.","Perfect for casual days, these trainers from Tommy Hilfiger boast soft and supple suede uppers.
Complete with a lace-up front, combine with chinos and a comfy tee for a go-to off-duty ensemble."
"Sport & Fitness Activity is Golf. Washing Instructions is Machine Washable. Brand is Skechers. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Synthetic. Fastening is Lace-Up. Composition is upper: synthetic, lining: 100% polyester, sole: EVA.","Play your best game in all-day supportive comfort wearing Skechers Arch Fit GO GOLF Max 2. This spikeless waterproof design features a lace-up synthetic and mesh upper with a removable supportive Arch Fit insole. Patented Skechers Arch Fit insole system with podiatrist-certified arch support and podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans. With removable insole that helps mould to your foot to reduce shock and increase weight dispersion. Ultra-lightweight, responsive ULTRA FLIGHT cushioning Waterproof protection."
"Washing Instructions is  Do not wash. Brand is Ted Baker. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Bovine Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: 100% leather, Lining: 95% polyurethane, 5% polyester, Sock: 100% polyurethane, Sole: 100% rubber.","A new take on the classic trainer, this pair comes with winter-inspired check accent on the back heel."
