prompt,completion,url
"Heel Height is Low. Washing Instructions is Do Not Wash. Brand is White Stuff. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots, Chelsea Boots. Main Shoe Material is Suede. Exact Heel Height is 2.5cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Composition is Upper: Suede, Sole: rubber, Lining: textile/leather . Pattern Details is Plain.","In a classic chelsea boot design, these shoes by White Stuff are fashioned from suede for long-lasting quality and comfort.
Set on a block heel, they are finished with a rounded toe.
Heel height: 2.5cm",https://www.johnlewis.com/white-stuff-esme-suede-chelsea-boots/pure-black/p6277977
"Heel Height is Low. Brand is Hotter. Shoe Or Boot Style is Biker Boots. Main Shoe Material is Leather. Exact Heel Height is 2.5cm. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning, Wide Fit. Toe Detail is Almond, Closed Toe. Material is Upper: leather, Sole: polyurethane, Lining: textile.","Primed for pounding city pavements, this pair of biker boots from Hotter is made from leather for comfort and quality that you can rely on.
Set on a flat heel, theyare deisgned with comfort in mind, featuring underfoot cushioning and a wide fit and have an almond-shaped toe that makes for a smooth finish.
Heel height: 2.5cm",https://www.johnlewis.com/hotter-harlow-wide-fit-leather-biker-boots-black/black/p6318078
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Court Shoes. Main Shoe Material is Synthetic. Heel Type is Stiletto. Heel Height is High. Brand is Mango. Occasion Type is Smart. Exact Heel Height is 9cm. Toe Detail is Pointed. Composition is Upper: polyurethane, Sole: thermoplastic, Lining: polyurethane/polyester.","Complete any outfit with these smart Lora court shoes from Mango.
Made with faux crocodile skin, they feature a pointed toe and an elevating stiletto heel.",https://www.johnlewis.com/mango-lora-pointed-toe-court-shoes-nude/p109072467
"Heel Height is Mid. Brand is John Lewis. Occasion Type is Smart. Main Shoe Material is Suede. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 7cm.  Heel Style is Covered. Country of Origin is Brazil. Fastening is Slip-On. Heel Type is Stiletto. Toe Detail is Almond. Material is Upper: suede, Sole: synthetic, Lining: leather.","Sleek and stylish, our Beloved courts are a much-loved signature style.
Made for us in Brazil from super-soft kid suede, they have an almond toe and an occasion-ready wearable stiletto heel. A classic pair of courts, wear them for all the events and occasions in your diary this season and beyond.
Good to know: Let any loose dirt dry out, then gently brush it off. You can get rid of stains with a specialist cleaner. After cleaning, it is a good idea to use a waterproofing spray, to protect them from weather and any splashes or spills.
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group.
John Lewis & Partners introduces a new style philosophy focused on individuality, colour and versatility. Each piece is designed to work together and with your existing wardrobe.
Designed in-house, the collection features contemporary clothing and accessories with strong, clean lines. Every season, our designers create distinct colour groups that include both the building blocks of every wardrobe and vibrant stand-out pieces that add a finishing touch.
Empower your personal style and mix, match, tone and clash. John Lewis & Partners: it’s how you wear it.",https://www.johnlewis.com/john-lewis-beloved-suede-almond-toe-court-shoes/light-blue/p110114430
"Sport & Fitness Activity is Golf. Washing Instructions is Machine Washable. Brand is Skechers. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Toe Detail is Round. Composition is Upper: leather, Sole: rubber, Lining: synthetic.","Sleek casual style and on-course performance arrives in Skechers Relaxed Fit Go Golf Drive 5. This lace-up golf design features a leather and synthetic upper with a removable Arch Fit insole and Goodyear Performance Outsole. 
With a relaxed fit for roomy comfort at the toe and forefoot and waterproof protection, these trainers are completed with lightweight, resilient cushioning that offers on-course/off-course versatility.",https://www.johnlewis.com/skechers-relaxed-fit-go-golf-drive-5-trainers/white/p6212556
"Brand is Dune. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Synthetic. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: synthetic, Sole: synthetic, Lining: synthetic.","A modern man's essential, these Trip trainers from Dune are ideal for weekends.
Featuring lace-up front fastening and a round toe, the design is offset by a contrasting flat sole and material ankle trim.",https://www.johnlewis.com/dune-trip-textured-trainers-tan/p6156184
"Sub-Brand is Polo Ralph Lauren. Washing Instructions is Wipe Clean. Brand is Ralph Lauren. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: 100% leather, Lining: 100% polyester, Sole: 100% rubber.","The Heritage Court II draws inspiration from early tennis professionals' footwear, resulting in a classic silhouette. These shoes are made with a leather upper and a rubber cupsole construction that includes integrated heel support. Additionally, they are designed with a dual-compound EVA midsole, providing exceptional comfort.",https://www.johnlewis.com/polo-ralph-lauren-heritage-court-leather-ii-trainers-white-green/p110088808
"Washing Instructions is Sponge Clean Only. Brand is Tommy Hilfiger. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Material is Upper: suede, Sole: rubber.","Perfect for casual days, these trainers from Tommy Hilfiger boast soft and supple suede uppers.
Complete with a lace-up front, combine with chinos and a comfy tee for a go-to off-duty ensemble.",https://www.johnlewis.com/tommy-hilfiger-comfort-leather-hybrid-trainers-dark-ash/p109577435
"Sport & Fitness Activity is Golf. Washing Instructions is Machine Washable. Brand is Skechers. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Synthetic. Fastening is Lace-Up. Composition is upper: synthetic, lining: 100% polyester, sole: EVA.","Play your best game in all-day supportive comfort wearing Skechers Arch Fit GO GOLF Max 2. This spikeless waterproof design features a lace-up synthetic and mesh upper with a removable supportive Arch Fit insole. Patented Skechers Arch Fit insole system with podiatrist-certified arch support and podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans. With removable insole that helps mould to your foot to reduce shock and increase weight dispersion. Ultra-lightweight, responsive ULTRA FLIGHT cushioning Waterproof protection.",https://www.johnlewis.com/skechers-go-golf-max-2-sport-shoes-white/p6271483
"Washing Instructions is  Do not wash. Brand is Ted Baker. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Bovine Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: 100% leather, Lining: 95% polyurethane, 5% polyester, Sock: 100% polyurethane, Sole: 100% rubber.","A new take on the classic trainer, this pair comes with winter-inspired check accent on the back heel.",https://www.johnlewis.com/ted-baker-bark-check-leather-trainers-white/p109656625
"Brand is Ted Baker. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Synthetic. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: recycled polyester, Sole: rubber.","Perfect for casual days, these trainers from Ted Baker boast durable uppers that are built to last.
Complete with a lace-up front, pair with rolled up trousers for the ultimate weekend look.",https://www.johnlewis.com/ted-baker-markyy-knitted-tracking-sneaker-black/p109762002
"Sub-Brand is Barbour International. Brand is Barbour. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, Lining: polyester.","Crafted from 100% supple leather, these trainers make the perfect pairing for everyday styling.",https://www.johnlewis.com/barbour-international-leather-strike-trainers-black/p109801601
"Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Heel Height is High. Brand is L.K.Bennett. Exact Heel Height is 8.5cm. Toe Detail is Pointed. Material is Upper: Suede, Sole: Leather, Lining: Leather.","Floret by L.K. Bennett is a classic court shoe with an elegant pointed toe and slim stiletto heel. This statement style is perfect for taking you from the office to an evening event or summer wedding for an effortlessly chic finish.
Heel height: 8.5 cm",https://www.johnlewis.com/l-k-bennett-floret-pointed-toe-court-shoes/navy-suede/p3567132
"Heel Height is Mid. Brand is Hobbs. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 4cm. Fastening is Buckle. Heel Type is Kitten. Toe Detail is Closed Toe, Square. Material is Upper: leather, Sole: leather/TPU, Lining: leather.","The ultimate in stalwart style, this pair of courts from Hobbs is made from leather for comfort and quality that you can rely on.
Sitting on a kitten heel, they are defined by an angular square toe for modern appeal.
Heel height: 4cm",https://www.johnlewis.com/hobbs-dita-leather-slingback-kitten-heel-court-shoes-ivory/p110315915
"Brand is Oliver Sweeney. Occasion Type is Smart. Shoe Or Boot Style is Brogues, Derby. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Closed Toe, Pointed. Composition is Upper: leather, Sole: rubber.","Fressignfield from Oliver Sweeney is the every-occasion derby shoe. Crafted in black calf leather and finished to a perfect shine, it's versatile and reliable.",https://www.johnlewis.com/oliver-sweeney-fressingfield-derby-brogue-shoes-black/p109433516
Heel Height is Low. Brand is Celtic & Co.. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Suede. Heel Type is Block. Toe Detail is Round. Material is Suede. Pattern Details is Plain.,"An understated classic you can’t possibly be without, this pair of ankle boots from Celtic & Co. offers an elegant touch to your ensemble with its soft suede uppers.
Set on a block heel, they are round-toed in design and are sure to make your everyday staples sing.",https://www.johnlewis.com/celtic-co-suede-notched-ankle-boots-navy/p6022179
"Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Flat. Brand is Boden. Occasion Type is Casual. Toe Detail is Closed Toe, Pointed. Material is Upper, Lining and Insock: leather, Sole: synthetic. Pattern Details is Plain, Textured.","Slipping on for effortlessly for busy days ahead, this pair of pumps from Boden is crafted from leather for comfort and longevity of wear.
Set on a flat heel, they are finished with a pointed toe that's sure to flatter.",https://www.johnlewis.com/boden-woven-leather-ankle-strap-pointed-flats/corporal-blue/p110047910
Heel Height is 7cm. Washing Instructions is Spot Clean Only. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Kid Suede. Heel Type is Wedge. Brand is Phase Eight. Occasion Type is Casual. Exact Heel Height is 7cm. Toe Detail is Open Toe. Composition is 100% Goat Suede Leather.,"A style you'll want to wear all day everyday. These Phase Eight espadrilles have been designed with a jute wedge sole, pretty open toe and a delicate buckle fastening ankle strap. A must-have for staycations and warm weekends.",https://www.johnlewis.com/phase-eight-suede-espadrilles-light-pink/p110198304
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Textile. Heel Type is Flat. Heel Height is Flat. Brand is TOMS. Occasion Type is Casual. Exact Heel Height is 2.50cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Round. Composition is Upper: textile, Sole: textile/rubber, Lining: cotton.","Preparing you for the warm weather, this pair of espadrilles from TOMS is made with textile uppers for a distinctive edge.
Sitting on a flat heel, they have been designed with underfoot cushioning to provide extra support when on your feet and are finished with a rounded toe.
Heel height: 2.5cm",https://www.johnlewis.com/toms-embroidered-alpargata-rope-espradrilles-natural/p110108276
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Loafers. Main Shoe Material is Suede. Heel Type is Flat. Heel Height is Flat. Brand is Crew Clothing. Occasion Type is Casual. Toe Detail is Closed Toe, Rounded Square. Composition is Upper: suede, Sole: synthetic, Lining: leather.","Opting for an understated, chic style, this pair of loafers from Crew Clothing is made with luxurious suede uppers to add a soft texture to your look.
Sitting on a flat heel, they have a squared toe that is beautifully curved for modern appeal.",https://www.johnlewis.com/crew-clothing-clancy-suede-loafers/rose-pink/p6429292
"Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Synthetic. Heel Type is Flat. Brand is adidas. Comfort and Fit is Underfoot Cushioning. Toe Detail is Round. Material is Upper: synthetic/textile, Sole: rubber, Lining: textile. Sustainable Material is Recycled.","A balance of comfort and style for versatile everyday wear, these women's running-inspired adidas shoes feature a breathable knit upper to keep feet cool. 
The easy-wearing Bounce midsole provides energised cushioning for any activity, whilst classic details add a sporty finish. 
Made with a series of recycled materials, the upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",https://www.johnlewis.com/adidas-alpha-bounce-running-shoes/p109505456
